JD,alt
2459690.24114583,416.715
2459690.2412037,416.759
2459690.24126157,416.805
2459690.24131944,416.85
2459690.24137732,416.899
2459690.24143518,416.945
2459690.24149306,416.99
2459690.24155093,417.035
2459690.2416088,417.083
2459690.24166667,417.128
2459690.24172454,417.173
2459690.24178241,417.218
2459690.24185185,417.265
2459690.24190972,417.31
2459690.24196759,417.355
2459690.24202546,417.399
2459690.24208333,417.446
2459690.2421412,417.491
2459690.24219907,417.535
2459690.24225694,417.579
2459690.24231481,417.625
2459690.24237269,417.668
2459690.24243056,417.712
2459690.24248843,417.755
2459690.24255787,417.801
2459690.24261574,417.844
2459690.24267361,417.887
2459690.24273148,417.929
2459690.24278935,417.974
2459690.24284722,418.016
2459690.24290509,418.058
2459690.24296296,418.1
2459690.24302083,418.146
2459690.2430787,418.187
2459690.24313657,418.228
2459690.24319444,418.269
2459690.24326389,418.314
2459690.24332176,418.354
2459690.24337963,418.394
2459690.2434375,418.434
2459690.24350694,418.479
2459690.24356481,418.519
2459690.24362269,418.557
2459690.24368056,418.596
2459690.24373843,418.64
2459690.2437963,418.678
2459690.24385417,418.716
2459690.24391204,418.753
2459690.24398148,418.796
2459690.24403935,418.833
2459690.24409722,418.869
2459690.24415509,418.905
2459690.24422454,418.946
2459690.24428241,418.981
2459690.24434028,419.016
2459690.24439815,419.051
2459690.24446759,419.09
2459690.24452546,419.124
2459690.24458333,419.158
2459690.2446412,419.191
2459690.24469907,419.23
2459690.24475694,419.263
2459690.24481481,419.295
2459690.24487268,419.327
2459690.24494213,419.361
2459690.245,419.392
2459690.24505787,419.423
2459690.24511574,419.453
2459690.24518519,419.487
2459690.24524306,419.516
2459690.24530093,419.545
2459690.2453588,419.574
2459690.24541667,419.605
2459690.24547454,419.633
2459690.24553241,419.66
2459690.24559028,419.687
2459690.24565972,419.716
2459690.24571759,419.742
2459690.24577546,419.768
2459690.24583333,419.793
2459690.2458912,419.82
2459690.24594907,419.844
2459690.24600694,419.868
2459690.24606481,419.891
2459690.24613426,419.916
2459690.24619213,419.939
2459690.24625,419.961
2459690.24630787,419.982
2459690.24636574,420.004
2459690.24642361,420.025
2459690.24648148,420.045
2459690.24653935,420.065
2459690.24659722,420.086
2459690.24665509,420.104
2459690.24671296,420.123
2459690.24677083,420.141
2459690.24684028,420.161
2459690.24689815,420.177
2459690.24695602,420.194
2459690.24701389,420.21
2459690.24708333,420.228
2459690.2471412,420.243
2459690.24719907,420.258
2459690.24725694,420.272
2459690.24731481,420.287
2459690.24737269,420.3
2459690.24743056,420.313
2459690.24748843,420.325
2459690.24755787,420.338
2459690.24761574,420.35
2459690.24767361,420.361
2459690.24773148,420.371
2459690.24778935,420.382
2459690.24784722,420.391
2459690.24790509,420.4
2459690.24796296,420.409
2459690.24803241,420.418
2459690.24809028,420.426
2459690.24814815,420.433
2459690.24820602,420.439
2459690.24827546,420.446
2459690.24833333,420.452
2459690.2483912,420.457
2459690.24844907,420.462
2459690.24851852,420.467
2459690.24857639,420.471
2459690.24863426,420.474
2459690.24869213,420.477
2459690.24876157,420.48
2459690.24881944,420.482
2459690.24887731,420.483
2459690.24893519,420.484
2459690.24900463,420.485
2459690.2490625,420.485
2459690.24912037,420.485
2459690.24917824,420.484
2459690.24924768,420.482
2459690.24930556,420.481
2459690.24936343,420.478
2459690.2494213,420.476
2459690.24949074,420.472
2459690.24954861,420.469
2459690.24960648,420.465
2459690.24966435,420.461
2459690.2497338,420.455
2459690.24979167,420.45
2459690.24984954,420.444
2459690.24990741,420.438
2459690.24997685,420.431
2459690.25003472,420.424
2459690.25009259,420.417
2459690.25015046,420.409
2459690.25021991,420.4
2459690.25027778,420.392
2459690.25033565,420.383
2459690.25039352,420.374
2459690.25046296,420.362
2459690.25052083,420.352
2459690.2505787,420.342
2459690.25063657,420.332
2459690.25070602,420.318
2459690.25076389,420.307
2459690.25082176,420.295
2459690.25087963,420.283
2459690.25094907,420.269
2459690.25100694,420.256
2459690.25106481,420.243
2459690.25112268,420.23
2459690.25118056,420.215
2459690.25123843,420.201
2459690.2512963,420.186
2459690.25135417,420.172
2459690.25142361,420.155
2459690.25148148,420.14
2459690.25153935,420.124
2459690.25159722,420.108
2459690.25166667,420.09
2459690.25172454,420.073
2459690.25178241,420.057
2459690.25184028,420.04
2459690.25190972,420.02
2459690.25196759,420.003
2459690.25202546,419.985
2459690.25208333,419.967
2459690.2521412,419.947
2459690.25219907,419.929
2459690.25225694,419.91
2459690.25231481,419.892
2459690.25238426,419.87
2459690.25244213,419.85
2459690.2525,419.831
2459690.25255787,419.812
2459690.25262732,419.791
2459690.25268518,419.771
2459690.25274306,419.751
2459690.25280093,419.731
2459690.2528588,419.709
2459690.25291667,419.689
2459690.25297454,419.668
2459690.25303241,419.647
2459690.25309028,419.625
2459690.25314815,419.604
2459690.25320602,419.583
2459690.25326389,419.562
2459690.25333333,419.538
2459690.2533912,419.517
2459690.25344907,419.495
2459690.25350694,419.473
2459690.25356481,419.448
2459690.25362269,419.427
2459690.25368056,419.405
2459690.25373843,419.383
2459690.25380787,419.359
2459690.25386574,419.337
2459690.25392361,419.315
2459690.25398148,419.293
2459690.25405093,419.268
2459690.2541088,419.246
2459690.25416667,419.224
2459690.25422454,419.202
2459690.25428241,419.177
2459690.25434028,419.155
2459690.25439815,419.133
2459690.25445602,419.111
2459690.25452546,419.085
2459690.25458333,419.063
2459690.2546412,419.041
2459690.25469907,419.019
2459690.25476852,418.994
2459690.25482639,418.972
2459690.25488426,418.95
2459690.25494213,418.929
2459690.25501157,418.905
2459690.25506944,418.883
2459690.25512731,418.862
2459690.25518519,418.841
2459690.25524306,418.817
2459690.25530093,418.797
2459690.2553588,418.776
2459690.25541667,418.755
2459690.25548611,418.733
2459690.25554398,418.712
2459690.25560185,418.692
2459690.25565972,418.672
2459690.25571759,418.651
2459690.25577546,418.631
2459690.25583333,418.612
2459690.2558912,418.592
2459690.25596065,418.571
2459690.25601852,418.552
2459690.25607639,418.533
2459690.25613426,418.515
2459690.25619213,418.494
2459690.25625,418.476
2459690.25630787,418.459
2459690.25636574,418.441
2459690.25643519,418.421
2459690.25649306,418.405
2459690.25655093,418.388
2459690.2566088,418.372
2459690.25667824,418.354
2459690.25673611,418.338
2459690.25679398,418.323
2459690.25685185,418.307
2459690.25690972,418.291
2459690.25696759,418.276
2459690.25702546,418.262
2459690.25708333,418.248
2459690.2571412,418.234
2459690.25719907,418.221
2459690.25725694,418.208
2459690.25731481,418.196
2459690.25738426,418.182
2459690.25744213,418.17
2459690.2575,418.159
2459690.25755787,418.148
2459690.25762731,418.136
2459690.25768519,418.126
2459690.25774306,418.116
2459690.25780093,418.107
2459690.25787037,418.096
2459690.25792824,418.087
2459690.25798611,418.079
2459690.25804398,418.072
2459690.25810185,418.063
2459690.25815972,418.057
2459690.25821759,418.05
2459690.25827546,418.044
2459690.25834491,418.038
2459690.25840278,418.033
2459690.25846065,418.029
2459690.25851852,418.025
2459690.25857639,418.021
2459690.25863426,418.018
2459690.25869213,418.015
2459690.25875,418.013
2459690.25881944,418.011
2459690.25887731,418.01
2459690.25893518,418.009
2459690.25899306,418.009
2459690.2590625,418.01
2459690.25912037,418.011
2459690.25917824,418.012
2459690.25923611,418.014
2459690.25929398,418.017
2459690.25935185,418.021
2459690.25940972,418.024
2459690.25946759,418.028
2459690.25953704,418.034
2459690.25959491,418.04
2459690.25965278,418.045
2459690.25971065,418.052
2459690.25978009,418.06
2459690.25983796,418.068
2459690.25989583,418.076
2459690.2599537,418.085
2459690.26001157,418.095
2459690.26006944,418.105
2459690.26012731,418.116
2459690.26018519,418.127
2459690.26025463,418.141
2459690.2603125,418.154
2459690.26037037,418.167
2459690.26042824,418.18
2459690.26049768,418.197
2459690.26055556,418.212
2459690.26061343,418.227
2459690.2606713,418.243
2459690.26074074,418.262
2459690.26079861,418.28
2459690.26085648,418.298
2459690.26091435,418.316
2459690.26097222,418.339
2459690.26103009,418.359
2459690.26108796,418.379
2459690.26114583,418.401
2459690.26121528,418.426
2459690.26127315,418.448
2459690.26133102,418.471
2459690.26138889,418.495
2459690.26145833,418.524
2459690.2615162,418.549
2459690.26157407,418.575
2459690.26163194,418.601
2459690.26168981,418.632
2459690.26174769,418.66
2459690.26180556,418.688
2459690.26186343,418.717
2459690.26193287,418.75
2459690.26199074,418.78
2459690.26204861,418.811
2459690.26210648,418.843
2459690.26217593,418.88
2459690.2622338,418.913
2459690.26229167,418.947
2459690.26234954,418.981
2459690.26241898,419.023
2459690.26247685,419.059
2459690.26253472,419.095
2459690.26259259,419.132
2459690.26265046,419.173
2459690.26270833,419.211
2459690.2627662,419.25
2459690.26282407,419.29
2459690.26289352,419.335
2459690.26295139,419.376
2459690.26300926,419.418
2459690.26306713,419.46
2459690.263125,419.508
2459690.26318287,419.552
2459690.26324074,419.596
2459690.26329861,419.641
2459690.26336806,419.69
2459690.26342593,419.736
2459690.2634838,419.783
2459690.26354167,419.83
2459690.26359954,419.883
2459690.26365741,419.932
2459690.26371528,419.982
2459690.26377315,420.032
2459690.26384259,420.089
2459690.26390046,420.141
2459690.26395833,420.193
2459690.2640162,420.245
2459690.26407407,420.305
2459690.26413194,420.359
2459690.26418981,420.413
2459690.26424769,420.468
2459690.26431713,420.531
2459690.264375,420.587
2459690.26443287,420.644
2459690.26449074,420.701
2459690.26456019,420.769
2459690.26461806,420.827
2459690.26467593,420.886
2459690.2647338,420.946
2459690.26480324,421.017
2459690.26486111,421.078
2459690.26491898,421.14
2459690.26497685,421.202
2459690.26503472,421.272
2459690.26509259,421.335
2459690.26515046,421.399
2459690.26520833,421.463
2459690.26527778,421.535
2459690.26533565,421.601
2459690.26539352,421.667
2459690.26545139,421.733
2459690.26552083,421.81
2459690.2655787,421.878
2459690.26563657,421.946
2459690.26569444,422.015
2459690.26575231,422.095
2459690.26581019,422.165
2459690.26586806,422.235
2459690.26592593,422.306
2459690.26599537,422.39
2459690.26605324,422.462
2459690.26611111,422.534
2459690.26616898,422.607
2459690.26623843,422.689
2459690.2662963,422.762
2459690.26635417,422.836
2459690.26641204,422.911
2459690.26648148,422.997
2459690.26653935,423.072
2459690.26659722,423.148
2459690.26665509,423.224
2459690.26671296,423.313
2459690.26677083,423.39
2459690.2668287,423.468
2459690.26688657,423.546
2459690.26695602,423.637
2459690.26701389,423.716
2459690.26707176,423.795
2459690.26712963,423.874
2459690.26719907,423.967
2459690.26725694,424.047
2459690.26731481,424.127
2459690.26737268,424.208
2459690.26744213,424.305
2459690.2675,424.386
2459690.26755787,424.468
2459690.26761574,424.55
2459690.26768519,424.649
2459690.26774306,424.731
2459690.26780093,424.814
2459690.2678588,424.897
2459690.26792824,424.995
2459690.26798611,425.078
2459690.26804398,425.162
2459690.26810185,425.247
2459690.2681713,425.343
2459690.26822917,425.428
2459690.26828704,425.513
2459690.26834491,425.598
2459690.26840278,425.697
2459690.26846065,425.782
2459690.26851852,425.868
2459690.26857639,425.954
2459690.26864583,426.052
2459690.2687037,426.138
2459690.26876157,426.225
2459690.26881944,426.311
2459690.26888889,426.413
2459690.26894676,426.499
2459690.26900463,426.586
2459690.2690625,426.673
2459690.26913194,426.778
2459690.26918981,426.865
2459690.26924769,426.953
2459690.26930556,427.04
2459690.269375,427.14
2459690.26943287,427.228
2459690.26949074,427.315
2459690.26954861,427.403
2459690.26961806,427.504
2459690.26967593,427.592
2459690.2697338,427.679
2459690.26979167,427.767
2459690.26984954,427.867
2459690.26990741,427.955
2459690.26996528,428.042
2459690.27002315,428.13
2459690.27009259,428.226
2459690.27015046,428.314
2459690.27020833,428.401
2459690.2702662,428.488
2459690.27032407,428.583
2459690.27038194,428.67
2459690.27043981,428.757
2459690.27049769,428.844
2459690.27056713,428.942
2459690.270625,429.029
2459690.27068287,429.115
2459690.27074074,429.202
2459690.27079861,429.298
2459690.27085648,429.384
2459690.27091435,429.47
2459690.27097222,429.555
2459690.27104167,429.647
2459690.27109954,429.733
2459690.27115741,429.818
2459690.27121528,429.903
2459690.27127315,429.995
2459690.27133102,430.08
2459690.27138889,430.164
2459690.27144676,430.248
2459690.2715162,430.339
2459690.27157407,430.423
2459690.27163194,430.506
2459690.27168981,430.588
2459690.27174768,430.68
2459690.27180556,430.762
2459690.27186343,430.844
2459690.2719213,430.926
2459690.27199074,431.013
2459690.27204861,431.094
2459690.27210648,431.175
2459690.27216435,431.255
2459690.27222222,431.335
2459690.27228009,431.414
2459690.27233796,431.493
2459690.27239583,431.572
2459690.2724537,431.65
2459690.27251157,431.728
2459690.27256944,431.806
2459690.27262731,431.883
2459690.27268519,431.959
2459690.27274306,432.036
2459690.27280093,432.112
2459690.2728588,432.187
2459690.27291667,432.262
2459690.27297454,432.336
2459690.27303241,432.41
2459690.27309028,432.483
2459690.27314815,432.556
2459690.27320602,432.629
2459690.27326389,432.701
2459690.27332176,432.772
2459690.27337963,432.843
2459690.2734375,432.913
2459690.27349537,432.983
2459690.27355324,433.052
2459690.27361111,433.121
2459690.27366898,433.189
2459690.27372685,433.257
2459690.27378472,433.324
2459690.27384259,433.39
2459690.27390046,433.456
2459690.27395833,433.521
2459690.2740162,433.586
2459690.27407407,433.65
2459690.27413194,433.713
2459690.27418981,433.776
2459690.27424769,433.838
2459690.27430556,433.9
2459690.27436343,433.961
2459690.2744213,434.021
2459690.27447917,434.08
2459690.27453704,434.139
2459690.27459491,434.197
2459690.27465278,434.255
2459690.27471065,434.312
2459690.27476852,434.368
2459690.27482639,434.423
2459690.27488426,434.478
2459690.27494213,434.532
2459690.275,434.585
2459690.27505787,434.638
2459690.27511574,434.69
2459690.27517361,434.741
2459690.27523148,434.791
2459690.27528935,434.841
2459690.27534722,434.89
2459690.27540509,434.938
2459690.27546296,434.985
2459690.27552083,435.031
2459690.2755787,435.077
2459690.27563657,435.122
2459690.27569444,435.166
2459690.27575231,435.21
2459690.27581019,435.252
2459690.27586806,435.294
2459690.27592593,435.335
2459690.2759838,435.375
2459690.27604167,435.415
2459690.27609954,435.453
2459690.27615741,435.491
2459690.27621528,435.528
2459690.27627315,435.564
2459690.27633102,435.599
2459690.27638889,435.633
2459690.27644676,435.667
2459690.27650463,435.699
2459690.2765625,435.731
2459690.27662037,435.762
2459690.27667824,435.792
2459690.27673611,435.821
2459690.27679398,435.849
2459690.27685185,435.877
2459690.27690972,435.903
2459690.27696759,435.929
2459690.27702546,435.954
2459690.27708333,435.977
2459690.2771412,436
2459690.27719907,436.022
2459690.27725694,436.043
2459690.27731481,436.064
2459690.27737269,436.083
2459690.27743056,436.101
2459690.27748843,436.119
2459690.2775463,436.135
2459690.27760417,436.151
2459690.27766204,436.166
2459690.27771991,436.179
2459690.27777778,436.192
2459690.27783565,436.204
2459690.27789352,436.215
2459690.27795139,436.225
2459690.27800926,436.234
2459690.27806713,436.243
2459690.278125,436.25
2459690.27818287,436.256
2459690.27824074,436.261
2459690.27829861,436.266
2459690.27835648,436.269
2459690.27841435,436.272
2459690.27847222,436.273
2459690.27853009,436.274
2459690.27858796,436.273
2459690.27864583,436.272
2459690.2787037,436.27
2459690.27876157,436.267
2459690.27881944,436.262
2459690.27887731,436.257
2459690.27893519,436.251
2459690.27899306,436.244
2459690.27905093,436.236
2459690.2791088,436.227
2459690.27916667,436.217
2459690.27922454,436.206
2459690.27928241,436.195
2459690.27934028,436.182
2459690.27939815,436.168
2459690.27945602,436.153
2459690.27951389,436.138
2459690.27957176,436.121
2459690.27962963,436.103
2459690.2796875,436.085
2459690.27974537,436.065
2459690.27980324,436.045
2459690.27986111,436.023
2459690.27991898,436.001
2459690.27997685,435.978
2459690.28003472,435.953
2459690.28009259,435.928
2459690.28015046,435.902
2459690.28020833,435.875
2459690.2802662,435.847
2459690.28032407,435.818
2459690.28038194,435.788
2459690.28043981,435.757
2459690.28049769,435.725
2459690.28055556,435.693
2459690.28061343,435.659
2459690.2806713,435.625
2459690.28072917,435.589
2459690.28078704,435.553
2459690.28084491,435.515
2459690.28090278,435.477
2459690.28096065,435.438
2459690.28101852,435.398
2459690.28107639,435.357
2459690.28113426,435.315
2459690.28119213,435.272
2459690.28125,435.228
2459690.28130787,435.184
2459690.28136574,435.138
2459690.28142361,435.092
2459690.28148148,435.045
2459690.28153935,434.996
2459690.28159722,434.947
2459690.28165509,434.897
2459690.28171296,434.847
2459690.28177083,434.795
2459690.2818287,434.743
2459690.28188657,434.689
2459690.28194444,434.635
2459690.28200231,434.58
2459690.28206019,434.524
2459690.28211806,434.467
2459690.28217593,434.41
2459690.2822338,434.351
2459690.28229167,434.292
2459690.28234954,434.232
2459690.28240741,434.171
2459690.28246528,434.11
2459690.28252315,434.047
2459690.28258102,433.984
2459690.28263889,433.92
2459690.28269676,433.855
2459690.28275463,433.789
2459690.2828125,433.723
2459690.28287037,433.656
2459690.28292824,433.588
2459690.28298611,433.519
2459690.28304398,433.45
2459690.28310185,433.379
2459690.28315972,433.308
2459690.28321759,433.237
2459690.28327546,433.164
2459690.28333333,433.091
2459690.2833912,433.017
2459690.28344907,432.943
2459690.28350694,432.867
2459690.28356481,432.791
2459690.28362269,432.715
2459690.28368056,432.637
2459690.28373843,432.559
2459690.2837963,432.481
2459690.28385417,432.401
2459690.28391204,432.321
2459690.28396991,432.241
2459690.28402778,432.159
2459690.28408565,432.077
2459690.28414352,431.995
2459690.28420139,431.912
2459690.28425926,431.828
2459690.28431713,431.743
2459690.284375,431.658
2459690.28443287,431.573
2459690.28449074,431.487
2459690.28454861,431.4
2459690.28460648,431.312
2459690.28466435,431.225
2459690.28472222,431.136
2459690.28478009,431.047
2459690.28483796,430.958
2459690.28489583,430.868
2459690.2849537,430.777
2459690.28501157,430.686
2459690.28506944,430.594
2459690.28512731,430.502
2459690.28518519,430.41
2459690.28524306,430.317
2459690.28530093,430.223
2459690.2853588,430.129
2459690.28541667,430.035
2459690.28547454,429.94
2459690.28553241,429.844
2459690.28559028,429.749
2459690.28564815,429.652
2459690.28570602,429.556
2459690.28576389,429.459
2459690.28582176,429.361
2459690.28587963,429.264
2459690.2859375,429.165
2459690.28599537,429.067
2459690.28605324,428.968
2459690.28611111,428.869
2459690.28616898,428.769
2459690.28622685,428.669
2459690.28628472,428.569
2459690.28634259,428.468
2459690.28640046,428.368
2459690.28645833,428.266
2459690.2865162,428.165
2459690.28657407,428.063
2459690.28663194,427.961
2459690.28668981,427.859
2459690.28674769,427.756
2459690.28680556,427.654
2459690.28686343,427.551
2459690.2869213,427.447
2459690.28697917,427.344
2459690.28703704,427.24
2459690.28709491,427.136
2459690.28715278,427.032
2459690.28721065,426.928
2459690.28726852,426.824
2459690.28732639,426.719
2459690.28738426,426.615
2459690.28744213,426.51
2459690.2875,426.405
2459690.28755787,426.3
2459690.28761574,426.194
2459690.28767361,426.089
2459690.28773148,425.984
2459690.28778935,425.878
2459690.28784722,425.773
2459690.28790509,425.667
2459690.28796296,425.561
2459690.28802083,425.456
2459690.2880787,425.35
2459690.28813657,425.244
2459690.28819444,425.138
2459690.28825231,425.032
2459690.28831019,424.927
2459690.28836806,424.821
2459690.28842593,424.715
2459690.2884838,424.609
2459690.28854167,424.503
2459690.28859954,424.398
2459690.28865741,424.292
2459690.28871528,424.187
2459690.28877315,424.081
2459690.28883102,423.975
2459690.28888889,423.87
2459690.28894676,423.765
2459690.28900463,423.66
2459690.2890625,423.555
2459690.28912037,423.45
2459690.28917824,423.345
2459690.28923611,423.241
2459690.28929398,423.136
2459690.28935185,423.032
2459690.28940972,422.928
2459690.28946759,422.824
2459690.28952546,422.72
2459690.28958333,422.616
2459690.2896412,422.513
2459690.28969907,422.41
2459690.28975694,422.307
2459690.28981481,422.204
2459690.28987269,422.102
2459690.28993056,422
2459690.28998843,421.898
2459690.2900463,421.796
2459690.29010417,421.695
2459690.29016204,421.594
2459690.29021991,421.493
2459690.29027778,421.392
2459690.29033565,421.292
2459690.29039352,421.193
2459690.29045139,421.093
2459690.29050926,420.994
2459690.29056713,420.895
2459690.290625,420.797
2459690.29068287,420.698
2459690.29074074,420.601
2459690.29079861,420.503
2459690.29085648,420.406
2459690.29091435,420.31
2459690.29097222,420.214
2459690.29103009,420.118
2459690.29108796,420.022
2459690.29114583,419.927
2459690.2912037,419.833
2459690.29126157,419.739
2459690.29131944,419.645
2459690.29137731,419.552
2459690.29143519,419.459
2459690.29149306,419.367
2459690.29155093,419.275
2459690.2916088,419.184
2459690.29166667,419.093
2459690.29172454,419.003
2459690.29178241,418.913
2459690.29184028,418.824
2459690.29189815,418.735
2459690.29195602,418.647
2459690.29201389,418.559
2459690.29207176,418.472
2459690.29212963,418.386
2459690.2921875,418.3
2459690.29224537,418.214
2459690.29230324,418.129
2459690.29236111,418.045
2459690.29241898,417.961
2459690.29247685,417.878
2459690.29253472,417.795
2459690.29259259,417.713
2459690.29265046,417.632
2459690.29270833,417.551
2459690.2927662,417.471
2459690.29282407,417.391
2459690.29288194,417.312
2459690.29293981,417.234
2459690.29299769,417.156
2459690.29305556,417.08
2459690.29311343,417.003
2459690.2931713,416.927
2459690.29322917,416.852
2459690.29328704,416.778
2459690.29334491,416.704
2459690.29340278,416.631
2459690.29346065,416.559
2459690.29351852,416.487
2459690.29357639,416.416
2459690.29363426,416.346
2459690.29369213,416.276
2459690.29375,416.207
2459690.29380787,416.139
2459690.29386574,416.072
2459690.29392361,416.005
2459690.29398148,415.939
2459690.29403935,415.874
2459690.29409722,415.809
2459690.29415509,415.745
2459690.29421296,415.682
2459690.29427083,415.62
2459690.2943287,415.558
2459690.29438657,415.497
2459690.29444444,415.437
2459690.29450231,415.377
2459690.29456019,415.319
2459690.29461806,415.261
2459690.29467593,415.204
2459690.2947338,415.147
2459690.29479167,415.092
2459690.29484954,415.037
2459690.29490741,414.983
2459690.29496528,414.93
2459690.29502315,414.877
2459690.29508102,414.825
2459690.29513889,414.774
2459690.29519676,414.724
2459690.29525463,414.675
2459690.2953125,414.626
2459690.29537037,414.578
2459690.29542824,414.531
2459690.29548611,414.485
2459690.29554398,414.44
2459690.29560185,414.395
2459690.29565972,414.351
2459690.29571759,414.308
2459690.29577546,414.266
2459690.29583333,414.225
2459690.2958912,414.184
2459690.29594907,414.144
2459690.29600694,414.105
2459690.29606481,414.067
2459690.29612269,414.03
2459690.29618056,413.993
2459690.29623843,413.957
2459690.2962963,413.922
2459690.29635417,413.888
2459690.29641204,413.855
2459690.29646991,413.822
2459690.29652778,413.79
2459690.29658565,413.759
2459690.29664352,413.729
2459690.29670139,413.7
2459690.29675926,413.671
2459690.29681713,413.644
2459690.296875,413.617
2459690.29693287,413.591
2459690.29699074,413.565
2459690.29704861,413.541
2459690.29710648,413.517
2459690.29716435,413.494
2459690.29722222,413.472
2459690.29728009,413.451
2459690.29733796,413.43
2459690.29739583,413.411
2459690.2974537,413.392
2459690.29751157,413.374
2459690.29756944,413.356
2459690.29762731,413.34
2459690.29768518,413.324
2459690.29774306,413.309
2459690.29780093,413.295
2459690.2978588,413.282
2459690.29791667,413.269
2459690.29797454,413.257
2459690.29803241,413.246
2459690.29809028,413.236
2459690.29814815,413.227
2459690.29820602,413.218
2459690.29826389,413.21
2459690.29832176,413.203
2459690.29837963,413.196
2459690.2984375,413.191
2459690.29849537,413.186
2459690.29855324,413.181
2459690.29861111,413.178
2459690.29866898,413.175
2459690.29872685,413.173
2459690.29878472,413.172
2459690.29884259,413.172
2459690.29890046,413.172
2459690.29895833,413.173
2459690.2990162,413.175
2459690.29907407,413.177
2459690.29913194,413.18
2459690.29918981,413.184
2459690.29924769,413.189
2459690.29930556,413.194
2459690.29936343,413.2
2459690.2994213,413.206
2459690.29947917,413.214
2459690.29953704,413.222
2459690.29959491,413.231
2459690.29965278,413.24
2459690.29971065,413.25
2459690.29976852,413.261
2459690.29982639,413.272
2459690.29988426,413.284
2459690.29994213,413.297
2459690.3,413.31
2459690.30005787,413.324
2459690.30011574,413.339
2459690.30017361,413.354
2459690.30023148,413.37
2459690.30028935,413.386
2459690.30034722,413.404
2459690.30040509,413.421
2459690.30046296,413.44
2459690.30052083,413.459
2459690.3005787,413.478
2459690.30063657,413.498
2459690.30069444,413.519
2459690.30075231,413.54
2459690.30081019,413.562
2459690.30086806,413.585
2459690.30092593,413.608
2459690.3009838,413.631
2459690.30104167,413.655
2459690.30109954,413.68
2459690.30115741,413.705
2459690.30121528,413.731
2459690.30127315,413.757
2459690.30133102,413.784
2459690.30138889,413.811
2459690.30144676,413.838
2459690.30150463,413.867
2459690.3015625,413.895
2459690.30162037,413.925
2459690.30167824,413.954
2459690.30173611,413.985
2459690.30179398,414.015
2459690.30185185,414.046
2459690.30190972,414.078
2459690.30196759,414.11
2459690.30202546,414.142
2459690.30208333,414.175
2459690.3021412,414.208
2459690.30219907,414.242
2459690.30225694,414.276
2459690.30231481,414.31
2459690.30237269,414.345
2459690.30243056,414.381
2459690.30248843,414.416
2459690.3025463,414.452
2459690.30260417,414.489
2459690.30266204,414.526
2459690.30271991,414.563
2459690.30277778,414.6
2459690.30283565,414.638
2459690.30289352,414.676
2459690.30295139,414.715
2459690.30300926,414.753
2459690.30306713,414.792
2459690.303125,414.832
2459690.30318287,414.871
2459690.30324074,414.911
